nombre,precio,correo
Macbook Air M1,759.0,pipemendezri@gmail.com
Lenovo ThinkPad,5000.0,otrocorreo@example.com
Johnson-Graham,2020.45,taylorrebecca@example.com
Lewis-Hernandez,2245.97,ramireznorman@example.com
Coleman PLC,4373.6,leeryan@example.org
"Henry, Scott and Nunez",3034.93,holmeskathy@example.com
"Ramos, Compton and Bowen",2864.6,frederickgarcia@example.org
Gaines Inc,3395.3,jameswells@example.com
"Holloway, Day and Martin",544.55,goodelizabeth@example.net
Atkins Inc,593.01,curtisfox@example.org
"Krueger, Austin and Ball",2911.09,samanthasantos@example.com
Williams Ltd,2129.41,jeremyjames@example.net
Cortez PLC,3218.71,perrydenise@example.net
Bell LLC,4676.32,tiffany02@example.org
"Harris, Young and James",4235.46,amanda39@example.org
Gomez LLC,1204.95,sosasteven@example.net
Carrillo PLC,3448.98,nunezchristine@example.org
Jimenez-Johnson,2473.97,dmorse@example.com
Vargas Inc,519.2,aaron80@example.com
Hale-Lopez,4177.33,matthew51@example.org
"Melton, Ellis and Ward",3277.87,charlescontreras@example.net
Scott LLC,391.51,staylor@example.org
Robinson-Ingram,3799.71,yhuffman@example.com
Carter Ltd,582.16,zmorales@example.net
Huynh-Sanchez,3380.72,jeremyford@example.net
Phillips LLC,2636.99,hmccall@example.org
"Gregory, Smith and Villegas",1044.46,patriciaboyd@example.com
West Group,4397.47,erika47@example.net
"Colon, Black and Velasquez",2015.71,brittany40@example.net
Harrington-Morales,4938.29,kimshelly@example.net
Casey-White,1306.32,stephanieberry@example.net
Chang-Bennett,4577.85,clarkeric@example.com
Thomas-Wilkins,997.35,susan71@example.net
"Shepard, Gibson and Thompson",768.98,riveranatasha@example.org
"Braun, Evans and Smith",4764.58,abbottjames@example.com
Smith and Sons,2409.46,james88@example.org
Moore-Ware,4027.26,vegavalerie@example.org
Roberts-Green,632.52,melaniemay@example.com
"Smith, Stephens and Barrett",4451.68,daniel79@example.net
Sexton and Sons,3434.47,judith52@example.org
Giles and Sons,4464.93,jasoncruz@example.com
"Flowers, Caldwell and Melendez",197.54,donnamurray@example.com
Brown and Sons,260.93,zrodgers@example.net
Todd-Mercado,891.33,april40@example.org
Romero Inc,471.7,butlersteven@example.net
"Cervantes, Wilson and Lozano",2401.25,rachel40@example.org
"Hall, Gonzalez and Gonzalez",3782.32,lstevenson@example.com
Ward-Cortez,3077.97,keith59@example.org
Dean and Sons,2376.44,cunninghamjonathan@example.net
"Rivera, Duran and Bailey",1256.07,lynn94@example.com
"Meadows, Delacruz and Garcia",2315.57,cory61@example.com
Bush-Lynch,2793.08,caleb51@example.net
"Medina, Johnson and Lawson",4717.31,andrewpowell@example.org
Stafford PLC,3437.47,monroediane@example.org
"Reed, Blake and Gomez",3399.33,waltonsarah@example.org
Holden-Wheeler,3514.05,cshepherd@example.net
"Boyer, Combs and Rogers",321.02,fisherandrea@example.com
Lester LLC,1623.39,cheryl57@example.org
"Davis, Paul and Chandler",4514.32,istevens@example.org
"Hill, Henson and Curry",3336.73,emiller@example.com
"Phillips, Odonnell and Rodriguez",1511.9,erinchavez@example.org
"Walker, Chung and Gray",767.67,joseph46@example.net
Benson Ltd,4378.68,thompsonshirley@example.net
"Perez, Foley and Dunlap",2645.72,qking@example.com
Robinson-Reid,561.62,mrocha@example.com
Burns Inc,4035.34,katherine42@example.org
"Ward, Harding and Merritt",3861.98,susan47@example.net
Hughes LLC,178.45,charles61@example.net
Fowler LLC,342.32,criddle@example.org
Gould-Navarro,3026.37,grahamstephanie@example.net
Morgan-Clayton,2375.06,qhaas@example.org
Morgan LLC,493.2,lcox@example.com
"Callahan, Bailey and Conrad",3861.78,sarahubbard@example.net
Holmes-Ibarra,3895.3,alicia00@example.com
"Greer, Hayden and Ward",1913.18,khumphrey@example.com
Moore Group,3649.83,campbellmeagan@example.com
"Miller, Brooks and Barnett",356.71,kerrymitchell@example.com
Mann-Hernandez,163.72,stevenblanchard@example.org
Reilly and Sons,2145.46,kimberlybradford@example.net
Foster PLC,2456.07,jonathansnyder@example.com
Clark Group,1912.91,averyandre@example.com
"Spencer, Martinez and Clayton",976.85,davidsoncurtis@example.com
Mayer Ltd,1637.66,ashleyowens@example.net
Harris Inc,3596.61,virginia22@example.net
Rangel-Gray,4410.74,jasonduncan@example.org
Brown Group,1199.09,kristiespinoza@example.net
Guzman Group,4815.85,adambaxter@example.net
Richardson-Brown,1388.83,montgomerytodd@example.com
"Olson, Robinson and Walker",658.91,michelemorris@example.org
"Burton, Avila and Wong",3909.18,floresgeorge@example.org
Anderson-Hall,4970.26,brentmelendez@example.net
Harrison Group,2308.34,holly09@example.org
Glenn-Clark,3305.17,whiteanthony@example.com
Blackwell-Miller,4577.98,lorizimmerman@example.com
"Powell, Neal and Mcdowell",4270.42,mullencynthia@example.net
Davenport-Young,2536.05,morenosamuel@example.com
"Sullivan, Mata and Greene",2889.64,briandavis@example.com
"Cummings, Johnson and Abbott",4536.72,kyle82@example.com
"Harris, Abbott and Marks",4325.73,hlewis@example.org
"Jimenez, Russell and Hartman",1496.36,linjonathan@example.com
Ramirez-Cruz,2100.63,cassidysmith@example.com
Lee-Davis,1501.74,barnesderek@example.org
Boyle Inc,4613.35,rogersjasmine@example.com
Weaver-Duncan,4724.26,alexis39@example.net
Ryan PLC,455.25,derekconway@example.com
Jacobs Inc,4831.72,boydjustin@example.net
"Gordon, Collins and Fletcher",516.4,tvaughn@example.org
"Moran, Reese and Cunningham",3656.32,angel42@example.com
"Espinoza, Lynch and Johnson",4929.49,alexahardy@example.com
"Gill, Bowman and Cole",696.9,jesse16@example.org
"Cohen, Dennis and Adams",1005.78,robertlewis@example.com
Gonzalez-Delgado,4220.83,patriciagrant@example.net
"Conner, Brewer and Scott",3845.9,xgarcia@example.org
"Jimenez, Jordan and Wolfe",2427.12,ymoore@example.org
Andrews PLC,1411.67,sramos@example.com
"Thomas, Smith and Cruz",4054.18,benjamin81@example.net
Cain-Smith,2721.89,emmakennedy@example.com
Morris-Shepherd,1526.58,joshua04@example.org
Torres PLC,3890.07,mary90@example.org
Poole Inc,3090.9,shelly64@example.com
"Dickerson, Williams and Robinson",3121.04,carol45@example.org
"Campbell, Franco and Gonzalez",4345.3,ewalker@example.net
"Cole, Cantrell and Richardson",4378.29,doughertyalejandra@example.org
Ramirez-Hudson,4394.9,zramirez@example.com
Copeland and Sons,1361.84,fvelazquez@example.com
"Mcintosh, Washington and Harris",510.58,eric49@example.net
Wells Group,3811.73,handersen@example.com
"Blair, Hughes and Baker",4696.45,alyssawhitaker@example.net
Roth-Lee,1212.42,robinsonjudy@example.org
Espinoza PLC,2644.75,kbutler@example.org
"Jones, Jones and Blevins",2856.96,delgadojustin@example.com
"Oliver, Taylor and Flores",234.78,rhondagardner@example.net
Anderson PLC,2862.81,flamb@example.org
Riley Group,318.77,uperez@example.com
"Price, Clark and Escobar",3892.36,gbell@example.net
"Barnett, Wilson and Costa",1104.99,bryancooper@example.com
Turner-Hernandez,2048.55,bethany54@example.com
Wolfe-Chandler,346.62,sharon84@example.net
Marks Inc,202.58,melanie43@example.org
Garcia PLC,2103.53,pamela12@example.com
Collins PLC,1356.57,andrewmyers@example.net
Norman-Simpson,3984.79,wesley73@example.org
"Mercado, Castro and Cameron",3918.7,williamslisa@example.net
Pugh and Sons,3881.9,annasoto@example.org
Shields PLC,3287.31,kathryncollins@example.net
"Sanchez, Vasquez and Steele",516.34,johnking@example.net
Boone and Sons,3805.33,jacksonmichelle@example.net
"Soto, Bell and Olsen",963.43,santoschristopher@example.org
Garcia-Wise,4638.27,gmcclain@example.com
Mccoy-Mckay,4968.71,munozkaren@example.com
Thomas Group,4632.91,charlescox@example.net
Johnson Group,1064.81,bradleymelissa@example.org
Anderson-Downs,1091.77,kara18@example.com
"Farmer, Foley and Mcgee",3588.87,sbarr@example.org
"Butler, Robinson and Wood",3516.17,mooneymark@example.org
"Clements, Miller and Reed",4713.92,npierce@example.com
Delgado-Hancock,3567.0,iphillips@example.net
Anderson Inc,4879.95,amandawilson@example.net
"Young, Holmes and Sanders",4233.79,reyesholly@example.org
Le PLC,1311.85,erica24@example.com
Fisher-Smith,1009.23,jennifer22@example.net
"Reynolds, Reyes and Hardin",4518.35,bestjason@example.net
Delgado Ltd,2232.75,amandamitchell@example.org
"Schaefer, Wilson and Vincent",4457.76,megan92@example.net
"Richards, Roman and Porter",3749.09,ofischer@example.net
Elliott-Terry,3339.94,clinejohn@example.com
"Marshall, Wong and Hernandez",3738.25,ufloyd@example.org
Bryant Inc,1446.38,michelewhite@example.com
Davis-Mcdonald,750.98,richardsonvictoria@example.net
Wilson-Williamson,4887.44,martinsusan@example.org
Smith Inc,3707.5,jeremyrodriguez@example.net
"Davis, Cruz and Wilson",4999.16,rtaylor@example.org
"Harrison, Stafford and Hunt",2801.19,smallmichael@example.com
"Mack, Frank and Watkins",259.71,john35@example.org
Mayo LLC,2589.84,billydawson@example.org
Cook Inc,2259.89,timothy51@example.com
"Goodman, Fuller and Mcdaniel",2702.49,sharpbarbara@example.com
"Lambert, Dixon and Evans",4133.64,bcarroll@example.org
Miller Group,1733.21,scook@example.com
Keith-Oconnor,215.91,john05@example.org
Martin-Gardner,910.07,howardjocelyn@example.net
"Fox, Andersen and Burgess",404.52,david00@example.com
Adams-Decker,1525.68,davislisa@example.com
Carter-Buchanan,3850.22,ylee@example.org
"Fuller, Moses and Hawkins",2938.16,lynn97@example.net
Villa-Maxwell,772.72,marcus35@example.net
"Vazquez, Cooley and Hayes",287.67,tpearson@example.org
Diaz PLC,1497.61,diane43@example.org
Sutton LLC,4925.24,smithjeremy@example.net
Armstrong-Harper,2581.65,edwardsjohn@example.org
"Watkins, Harris and Murphy",1440.78,johnsonearl@example.org
Scott-Tran,4384.48,haroldgarcia@example.com
Perez PLC,2472.81,glenn63@example.com
"Walker, Harris and Green",1637.6,dylan99@example.net
Ho-Robinson,504.9,chendavid@example.com
Johnson-Lewis,2297.77,gregory82@example.com
Barron-Gomez,843.18,phillipshannah@example.org
Weiss-Martin,225.54,tsnyder@example.net
"Wallace, Porter and Morales",4971.24,ashley86@example.com
"Robinson, Lawson and Jackson",1270.85,ylarson@example.com
Whitehead-Greer,3954.69,hernandezcarolyn@example.net
Thomas-Smith,4004.05,smartinez@example.com
Martin-Morris,3428.17,hayesbenjamin@example.org
Harris LLC,2932.38,wperry@example.com
"Rodriguez, Davis and Garcia",3506.85,johngonzalez@example.org
